# ID	J1	J2	J3	Mass	npix
0	-0.00009	-0.00009	-0.00009	500.000000	4139
1	-0.45334	-0.45334	-0.68340	500.000000	137
2	-0.08102	-0.08102	-0.35694	500.000000	548
3	-0.75393	-0.75393	-0.75393	500.000000	444
4	-0.09477	-0.09477	-0.09477	500.000000	3624
5	-0.83456	-0.83456	-0.91371	500.000000	112
6	-0.79321	-0.95473	-0.96216	500.000000	54
7	-0.24195	-0.24195	-0.51900	500.000000	1600
8	-0.60068	-0.60307	-0.77747	500.000000	400
9	-0.24871	-0.72833	-0.77609	500.000000	200
10	0.51330	0.51330	0.51330	500.000000	4139
11	0.48463	-0.65461	-0.65461	500.000000	320
12	1.00000	-0.93403	-0.93403	500.000000	20
13	-0.33597	-0.84403	-0.86166	500.000000	80
14	0.12793	-0.09959	-0.09959	500.000000	1843
15	0.02797	0.02797	-0.13010	500.000000	2757
